,occ_llm
212,ofvermjolnare
2115,gymnast.-dir.
1826,ofverlarare -
2072,1:e stadsnot.
1629,jarnv.-lakare
1910,garveriforest
1927,marinofverlak
45,gen.-faltlak.
1957,kontorskrifv.
407,stadsfaltskar
2038,exportresande
1590,kamm.-skrifv.
228,e. O. kammar-
77,bogserbefalh.
286,profn.-forest
2057,stenh.-idkare
1756,bleckslagerim
1701,1:ste bryggm.
2015,ofveringenior
1986,f. haradsskr.
2025,skradderiarb.
1778,teckn.-larare
340,metallslipare
574,grufintendent
349,vaktkonstapel
1781,stambokssekr.
1996,skadesplelare
43,justitie- rad
36,fralsn.armeof
348,blomsterfors.
263,verkstadsarb.
1625,assuranstj.-m
265,flaggunderoff
125,satteriforman
128,bankprokurist
575,dofst.-pastor
17,nederlagschef
83,skofabr.-arb.
809,travaruhandt.
424,sagv.-rorelse
404,slaktaremast.
366,skomak.-mast.
1631,platsforsalj.
113,instrumentarb
2073,marinofverdir
2037,fortroendeman
2061,legend.-agare
650,uppbordskass.
1749,lansmaskinist
183,barnavardsman
139,sparv.-forare
245,angbatsbefalh
1750,1:e stadslak.
2049,assessorsanka
43,tidn.-expedit
1607,1:ste bokhall
2149,forest O. h:a
105,svarfveriarb.
1742,2:dre stadsl.
1849,1:ste fyring.
228,maskinskotare
397,telefonkontr.
2085,f. d. auditor
2041,hofjuvelerare
1975,pianofabrikor
2034,seminarieadj.
1767,skogsarbetare
8,otverkmastare
565,borrmaskinist
1657,haradshofding
1732,f.d. arkitekt
1751,guldsmedsakt.
2144,handelslarare
2052,sparb.-kamrer
1761,skeppsmakla.e
1661,magasinsforv.
1725,travaruhandI.
71,bokhandelbitr
1812,folksk.-insp.
1716,processledare
558,municip.-lak.
543,stationsmast.
732,handelskamrer
564,ofverskradare
264,pianostammare
249,byraveterinar
1666,distr.-kamrer
1718,distriktsing.
164,metallgjutare
2138,reservofficer
363,afdeln.-insp.
345,bag.-fabrikor
323,kalkbr.-forv.
329,ofverstelojn.
1594,konditoriarb.
2055,generallojtn.
325,byggn.-kamrer
1766,barnav.-insp.
2106,artilleridir.
34,byggnadsbokh.
1755,distriktsvet.
62,vafveriledare
1680,larov.-larare
1860,kammarmusiker
1820,bankkamrerare
1821,tullupps.-man
2036,specerihandly
1753,jur. kandidat
1745,forsakr.-tim.
167,metallsliperi
290,milkontrollor
712,sanatorielak.
1615,affarsmaklare
1839,balaljonslak.
259,tradgardsmast
232,f. jarn.-arb.
236,landtbr.-arb.
1780,kammarrattsse
2070,kontraksprost
1803,sagvarksagare
1660,tulloverkontr
1707,prakt. kirurg
1639,stadsredaktor
2118,gaskontrollor
2135,kapellpredik.
2001,f. d. underst
316,bergsingenior
301,folkskolinsp.
273,mant.-skrifv.
274,platsl.-mast.
1875,kronouppb.-k.
1844,aeln.-forest.
1902,riksbankstjm.
1221,tapetfabrikor
1241,forsoksledare
720,apoteksinneh.
40,asfaltlaggare
1848,skradd.-form.
25,statsarkitekt
1598,vice haradsh.
1895,1:ste marinl.
1798,protokollsnot
217,byraapotekare
1178,skinnfabrikor
1181,kopingslakare
1229,jordbr.-bitr.
1600,civilassessor
1634,landskanslist
706,bruksbokhall.
238,skidf.-verkm.
214,pianotekniker
197,gasverksbokh.
176,stadslak:anka
1711,1:a arkivarie
100,postombudsman
571,municipallak.
375,reservfyrvakt
10,boktr.-forman
2062,bergsbruksidk
1854,boktr.-faktor
1807,handelsforst.
199,artilleriing.
2107,sanglararinna
1856,distriktschef
1805,observat.-d:r
1592,egendomsagent
1834,konsularagent
69,angslupsbefh.
61,seminarieelev
350,skomakeriarb.
1217,lantbruksing.
1220,sjukhemsinneh
2121,tygforvaltare
1644,distrikssekr.
1770,reseinspektor
1843,konsult. ing.
2089,tradgardsdir.
2074,tullpackinsp.
50,metallputsare
1365,diversehandl.
1307,kreat.-handl.
1305,e. lantmatare
12,orgeltekniker
0,bilbesikt:sm.
1374,overbergsing.
1238,bilomnibussag
60,centralkassor
132,garveriverkm.
1662,bruksforvalt.
193,butiksforest.
393,bergsprangare
1591,gymnastikdir.
1738,skrifstallare
1681,mosaiklaggare
2018,sparbankskamr
1972,Ass.-tjanstem
155,har.-skrivare
1989,tapet.-handl.
1990,baptistpastor
2017,handelsbokh.-
1999,f. d. general
505,handelslektor
1979,Prast- bordet
2116,platslag.-ml.
336,sparb.-kassor
1985,telegr.-kontr
2104,f. d. registr
1963,laroverksadj.
2042,direktorsass.
413,skeppsbyggare
2014,sparbanksdir.
1967,f.d. handelsr
1952,arkivforskare
841,fattigforest.
2140,under- lojtn.
1717,chark.-handl.
1993,1:ste kontors
2031,sundhetskomm.
2004,forste bryggm
2005,kommiss.-anka
2069,cementgjutare
1675,1:ste postexp
246,riksb.-kassor
272,bokforgyllare
1959,missionssekr.
482,seminarıelar.
2194,jarnvagstjm.
492,saginspektor
2193,handelsagent
78,hande[sidk:a
459,lotslojtnant
486,undantagsag.
1,biljardagare
2495,kallaremast.
1369,asylforest:a
58,apoteksinneh
46,verkstadsdir
23,fastn.-polis
1376,overformynd.
434,gjuterimast.
2697,landtm.-ausk
117,klockgjutare
2609,egend.-agare
2610,missionsdir.
2444,lagenhetsag.
2461,dist.-laka.e
2303,manuf.-handl
479,omnibussing.
499,chefsassist.
5,f. d. doman-
2222,regem.-veter
2527,fabr.-direg.
2512,Bageriforen.
2811,konditoriag.
2184,lasarettslak
2287,forste sekr.
2451,segelsmakare
442,filmskadesp.
499,grufforvalt.
2761,marinint. af
2477,forlagsbokh.
2526,hypoteksbokh
2501,pappershandl
284,telefonmont.
380,sparb.-sekr.
365,klock.-prast
413,materialskr.
384,lestareform.
2627,hoffotograf.
2440,handskmakare
2488,medicinalrád
300,billackerare
549,tjanstesekr.
541,porslinsrep.
2545,skeppsklarer
2546,fastigh.-ag.
2551,tobakshandl.
2596,bryggeridisp
2441,bitr. lakare
2407,bergsmastare
2409,kartongfabr.
2410,marinattache
2458,hokerihandl.
244,domkyrkoadj.
2531,lasarettlak.
2559,grsosshandl.
2544,ofverintend.
212,affarsledare
2623,fullforvalt.
2608,telef.-fabr.
2467,emigr.-agent
2242,handelsidk :
462,overtryckare
454,polytekniker
2438,bryggeridir.
2442,bruksdispon.
2773,bleckslagare
2762,stadskommin.
270,halsov.-ass.
2300,handelsuudk.
2443,skádespelare
2509,ofverstelojt
2493,bradg.-insp.
2541,batalj.-lak.
2483,maskinritare
2302,urmakeriarb.
2470,1:ste kontr.
2471,elektr. ing.
510,sektionschef
2505,jarnhandlare
350,apoteksbitr.
2562,tekn. fabrik
2587,grundlaggare
2507,f. ofverinsp
2540,konteramiral
2521,forste bokh.
2577,legationsrad
2578,mejerforest.
309,borstbindare
2576,stationsnsp.
2411,telegr.-ass.
395,sulfitforman
378,snick.-fabr.
2595,starbhusnot.
447,gipsentrepr.
442,reklamartist
2406,akad. rantm.
462,notariatchef
2484,stationsing.
2565,verkst.-chef
2523,manufakturh.
2556,spinneridir.
2581,kronolansman
2555,fabriksidk:a
2508,overstelojtn
2642,skriftstall.
291,trafikbilag.
292,verkst.-idk.
284,ordningsvakt
2618,travaruagent
2476,badkamrerare
2590,cigarretabr.
2522,f. glasmast.
2557,handelsidk'a
2655,lansveterin.
447,tumningschef
2405,afdeln.-chef
98,ljustryckare
437,charkuteriag
2479,stadsmaklare
2588,lansbokhall.
2489,travaruhandl
375,kraftv.-dir.
376,sagbladsarb.
2604,t. f. fiskal
267,verktygsing.
2564,premiaraktor
2537,teckn.-lar:a
2538,tra- fikchef
425,krogforest:a
2528,spegelmakare
2529,verkst.-arb.
396,kolningsing.
387,tillsyn.-man
455,akad.-kamrer
2613,styckjunkare
2599,kapten m. m.
124,garageinneh.
2637,kassaforvalt
2686,hamnbokhall.
2517,handelsfirma
2621,stationskarl
2615,1:ste verkm.
2563,kreditbanken
2532,Kgl. hofpred
705,hovst.-mast.
723,studierektor
2738,forstmastare
2680,bageriforest
2681,forestandare
90,ekonomiforv.
92,platsı.-arb.
85,market.-idk.
2591,vardshusidk.
2309,gasverkskamr
2550,uppbordkomm.
244,telegrafexp.
252,plattsattare
2515,repslagarem.
2549,forsakr.-tjm
2534,1:e postexp.
371,byraarkitekt
336,reklamexpert
333,tvatteriidk.
302,flygovering.
2490,tryckmastare
2649,handelsinsp.
2593,ofverjagmast
2566,By handelsr.
2246,telegrafing.
2659,smidesidkare
2294,paraplyfabr.
2594,bataljonslak
2616,arbetsforman
2553,1:ste landtm
2652,stentryckare
2589,privatjurist
2745,kammarvaktm.
2639,kanslerssekr
2724,haveriexpert
2677,afd.-forest.
2791,skeppsredare
2682,bager.idkare
2346,jarnv.-bokh.
2728,distr.-landt
2525,handelsidk;a
2614,kommissionar
2708,handelsiidk.
2774,kab.-kammarh
2709,sockerbagare
209,tobaksexpert
192,mask.-faktor
59,korvforsalj.
2574,bankombudsm.
2583,sem.-forest.
2504,jarnvagslak.
2520,lagerforest.
448,univ.-lektor
2580,1:ste kassor
2661,verkst. dir.
2771,vikt.-handl.
118,korsnarsarb.
105,parkettlagg.
2684,hofr.-fiskal
2571,officersvol.
2560,e. landtmat.
2617,korffabrikor
2510,elektr. bely
2511,slakthusdir.
2606,automatinneh
2704,brygg.-disp.
271,sparv.-kond.
193,officersasp.
2672,2:dra graden
2758,brygg.-bokh.
814,undantagsman
2706,f. d. rantm.
62,penselmakare
121,porslinsarb.
2201,representant
2320,landtnamnden
2240,pappersmast.
2694,dofstumslar.
2276,domanintend.
2277,polismastare
2427,hotellidkare
65,hofdekorator
2506,timmerhandel
2554,slakteriidk.
465,domkyrkoorg.
1203,fabriksrepr.
1194,smedsmastare
1179,kallvalsarb.
2239,mej.-forest.
226,krim.-konst.
2715,handelsidkia
2202,hamnupps.-m.
2584,fattigvards-
2561,skeppsbyggm.
2198,snickerifab.
2651,f. d. kyrkv.
2638,afdeln.-ing.
2643,1:ste stadsf
2612,slojdofverl.
2693,f.d. revisor
2678,teaterledare
2673,flaggjunkare
2656,slottsbyggm.
114,korr.-lasare
2629,fjardingsman
2214,fangelsedir.
2679,riksb.-bokh.
2600,hofskorstens
2683,stationsskr.
2241,stadsfisakal
2570,orgelbyggare
2586,hofskraddare
2720,2:e stadslak
2611,biografagare
6,matarekontr.
11,brygg.-agare
2648,landshofding
2321,travaruhandi
2429,konstgjutare
2414,auktionsdir.
2415,stufverikass
2389,komm.-kamrer
214,sallskapsdam
191,forsakr.-rad
2654,skeppsstufva
2585,spadespelare
661,skogs.-forv.
2192,hembageriidk
2788,pantlaneridd
2575,skogsbrukare
2624,geodetforman
2237,konsult. ing
2336,laroverksadj
2454,auktionskom.
2455,maleriidkare
104,driftsverkm.
2740,bokbindarem.
2794,byradirektor
84,stallskotare
202,portfoljmak.
2295,pyrotekniker
2669,professorska
2675,kapten-lojtn
2644,vagnfabrikor
2633,hamnuppsyn.-
74,kinofotograf
2705,kont.-prost.
274,ofverbrandm.
2660,f. slussinsp
767,varfsforest.
2337,haradsskrif.
194,inkass.-chef
232,konsul.-tjm.
223,fotokemigraf
727,kritbruksag.
731,smaskollar:a
2674,bankkorresp.
2216,fabriksagare
2284,f. prov.-lak
2285,1:ste landim
2711,kopm. & kons
2646,kronoarrend.
2668,f. d. trafik
2685,komm.-kapten
471,maskinrepar.
755,grufbokhall.
738,ledn.-forman
2687,dratselsekr.
2436,charkuterist
174,vedgardsarb.
2225,f. d. hotell
2327,beredningsm.
2605,veterinarlak
77,tidningsutg.
64,byggn-snick.
56,sjukhuskomm.
2243,kammarr.-rad
1233,kommunalordf
1236,municipallak
1218,hospitallak.
1224,dovstumslar.
2779,jarnarbetare
2398,pantlaneidk.
2384,regeringsrad
2817,hofkvarterm.
1134,stationsmast
1097,postforest:a
1035,biografinneh
1031,gipsfabrikor
2767,faltredaktor
2622,kungl. sekr.
2542,tegelbruksid
2722,jarnkramhand
2742,godsforvalt.
2743,f. d. forest
2757,specerihandl
2332,etatsradinna
626,grufjordsag.
2319,bageriidkare
243,karamellkok.
1163,bensinhandl.
43,byrabokhall.
37,maskinverkm.
2701,landtm.-fisk
2308,karamellfabr
2691,platsl.-idk.
2725,f. d. fordel
2710,spinnmastare
2543,vattenledn.-
2780,kladeshandl.
631,martinforman
2272,uppb.-kassor
775,kyrkovaktare
2798,hofkapellist
152,hypotekstjm.
142,jarnh.-bitr.
123,fabriksbokh.
2356,afdein.-chef
2386,1:e landtmat
2208,komm.-handl.
2434,tullofverkon
1016,berakn.-chef
1003,platpressare
1011,gjuteriform.
2235,kakelugnsm.-
994,dovstumlar:a
970,handelstradg
2270,marinintend.
2813,kreaturshand
2764,fabriksfirma
2181,tapetserarm.
2188,travaruhandI
173,stufveriarb.
113,lansmejerska
120,brukstj.-man
2632,arbetsledare
2245,mjolkarrend.
2381,ekonomiinsp.
2736,landtbr.-ing
2721,jarnvagskont
982,diversehandl
2431,kopparsl.-id
2416,flottn.-chef
2231,affarsidkare
2196,riksbankskam
2782,konsist.-am.
2783,sparbankstj.
2430,telegrafass.
929,materialvakt
91,telefonfabr.
79,kafeidkerska
2352,fabriksarbet
2432,f.d. skollar
2751,skofabrikant
642,mater.-forv.
653,fisk.-instr.
2665,tegelbruksag
2741,fabr.-ledare
2727,mantalskomm.
967,sparv.-form.
948,naringsidk:a
182,kvarnbyggare
2766,ste postexp.
2395,travaruinsp.
2195,stadsrevisor
915,chefredaktor
902,vattentillv.
896,chark.-inneh
877,byggn.-form.
2733,ofvermaskinm
674,mart.-smalt.
2730,distriktskam
651,stats.-insp.
648,vafv.-handl.
216,skoltandlak.
2781,handelsidk a
2698,e prov.-lak.
742,varuutkorare
729,sparvagsarb.
735,snickareform
2382,possessionat
34,angbatsagent
2417,kontraktstol
2428,telegraftjm.
2323,lands kamrer
2404,f. d. kopman
0,hotr.-fiskal
2748,konditoriarb
808,olhallinneh.
2362,byggnadschef
2747,damskraddare
2800,malteriagare
2801,gordelmakare
952,tyghantverk.
936,stadsveteri-
942,egend.-makl.
64,konfektionar
2236,f.d. pappers
295,metod.-past.
437,fodoradstag.
2273,bankdepachef
846,tidn.-handl.
849,beredn.-mast
834,posttjanstem
2178,Handelsidk:a
2268,industriidk.
2807,stallforest.
2776,skrifbitrade
2696,assuranstjm.
2812,distr.-sekr.
2293,medicinalrad
2278,f.d. distr.-
2815,ajustitierad
2348,generalmajor
2349,tulldirektor
2802,kaptenlojtin
2313,e. prov.-lak
2799,assuransdir.
2180,handelsbokh.
2664,rev.-komiss.
2790,just.-radman
2271,affarsinneh.
2256,riksbankstjm
2274,bergslagsman
2729,byggn.-insp.
328,advokatbitr.
310,stenh.-agare
303,und.-kirurg.
2204,forste bibl.
211,hotellvaktm.
181,hvitgarfvare
403,chefsstewart
2177,skorstensfe'
2257,garfveriidk.
2258,vik. larov.-
2358,domk.-kommin
2280,antiqvitetsh
2666,bokhandelsb.
2312,angbatskomm.
2731,1:ste brand-
2805,elektr.-verk
330,teckningslar
2368,jarnbruksing
2380,haradsdomare
308,mathallerska
714,skinnuppkop.
698,sparvagsdir.
683,sparvagskond
665,vagnsmorjare
348,apot.-inneh.
2402,polisnotarie
2355,smedshandtv.
2789,hushallerska
81,f. d. vaktm.
387,byggnadsarb.
2279,just.-rádman
405,lansassessor
269,garfv.-fabr.
2765,stadstjanare
2814,hofkamrerare
713,stationschef
2433,stationsint.
2357,tryckeriarb.
2282,hastslaktare
2418,afd.-forst:a
2385,lároverksrad
2793,underlojnant
2232,1:ste lifmed
2325,hofpredikant
800,laroverkslar
789,telegr.-exp.
795,magasinsarb.
778,kullagerarb.
2283,snickeriidk.
2317,hofapotekare
2392,bruksforvalt
2311,landstinsgm.
2244,lansjagmast.
103,bankomb.-man
2387,skradderiidk
271,kvarnmastare
604,lotterikomm.
605,ovningskoll.
2361,statsradinna
414,karantanlak.
578,elementarlar
371,sagv.-kassor
372,f. vagnmast.
2330,prakt. lalk.
396,linjemastare
2351,auktionsutr.
304,ofv.-brandm.
209,smidesforman
2397,bageriidk :a
2187,mossommerska
389,stat.-forman
19,hofkalligrat
2435,regm.-pastor
2360,verkst.-dir.
2190,lagerbitrade
280,ofverlandtm.
473,e. gransrid.
469,tjarfabrikor
391,baptistpred.
2422,exped.- chef
2369,polisofverk.
2275,telegrafdir.
453,f. bruksidk.
476,hovrattsass.
476,skradd.-arb.
844,skogsplantor
825,ofverstigare
2338,stadsnotarie
239,packhusform.
2315,kont.-skrifv
576,hand.-larare
350,baltfabrikor
2403,assuransmakl
541,folkhogskoll
523,belysn.-ing.
508,fastighetsag
2249,distr.-veter
2326,med. d rr E.
2310,hufvudkassor
2269,marindir. af
451,potatishandl
443,rest.-inneh.
445,verkstadsarb
2396,verkst.-ing.
289,tegelbr.-ag.
2792,charkuterih.
422,byggnadsrit.
577,bag.-mastare
282,musikstyckj.
60,ekonomibokh.
2226,operasangare
343,personalchef
308,angslupsfor.
309,elementarl:a
312,gelbgjutarm.
2667,prak't. lak.
2364,telegr.-dir.
2394,utmatningman
2347,tullbev.-kon
2233,f. d. fabrik
2247,flottn.-form
442,polisuppsyn.
2366,skolforest:a
366,sundh.-komm.
2699,commissionar
2732,distr.ledare
2288,provinsiall.
2306,lands­kamrer
513,glasbruksag.
498,overlantmat.
503,dratselbokh.
2393,fastigh.-ack
2365,fabr.-idkare
2350,underofficer
2224,v. haradsho.
391,slakteriarb.
2234,assuranst'm.
2353,tandtekniker
2413,akademisekr.
2367,linnevafvare
379,sagv.-faktor
2372,kammarr.-rád
2210,kontrolling.
361,f. f. kyrko.
2263,skorstensfej
368,klichemakare
352,ofverportier
2334,kontorsbitr.
547,vattenbrygg.
287,gasverksarb.
293,verktygsarb.
511,vagbyggmast.
2305,tullforvalt.
2328,kontr-.prost
2354,telegrafkomm
2749,f. d. nandl.
2804,restauratris
2374,kyrkoadjunkt
2375,forsak.-dir.
93,bryggeriarb.
12,brodutkorare
497,flaggstyrman
2229,handelsidk:a
386,tekn. ledare
2335,ikontorschef
2333,landshovding
2318,yrkesrevisor
2342,medaljgravor
401,stenexportor
381,kalkbrannare
378,chiropractor
2448,regemintend.
168,snormakerim.
482,bostadsforv.
483,skogstj.-man
472,diamantborr.
2251,Tel.-forest.
2445,chark.-handl
2494,slottspastor
2492,fabriksdisp.
252,pramtimmerm.
2630,distriktslak
2481,prakt.lakare
2482,adj. ledamot
2341,medaligravor
494,f. fullforv.
2809,med. doktor.
2474,tradg.-mast.
2419,instrumentm.
2339,lifforsakr.-
2735,domkyrkoark.
2784,kartredaktor
2197,extra larare
2423,kabinettsekr
2344,sagverksinsp
284,chiropraktor
2695,kakelugnsmak
2744,riksmarskalk
534,kalkbruksag.
536,maltberedare
501,timm.-handl.
29,brygg.-forv.
0,toffelmakare
2795,konstformare
369,stuveriform.
354,overinspekt.
336,ass.-tj.-man
341,skjulvaktare
426,fabriksforv.
15,rakknifsarb.
2756,kopmannabank
28,villabyggare
2719,telgr.-komm.
2723,pantbanksag.
2692,cigarrfabrik
2645,mossfabrikor
849,fargtekniker
2343,garfverifabr
2465,skeppsmatare
2535,bankbokhall.
728,expr.-inneh.
714,automobilag.
291,stationsinsp
173,kommunalarb.
129,domkyrkokomm
2291,1:e aktuarie
2459,fiskhandlare
2363,expressinneh
160,varvsforest.
138,stationsform
116,personalkons
97,tradskoleag.
132,uppbordschef
37,tryckeridir.
119,harfrisorska
2466,kaptenlojtn.
2734,hattfabrikor
185,centralpolis
173,samskollar:a
2785,generalagent
2304,dir.-assist.
184,vaxelmaklare
83,bryggeriing.
2592,kladeshandi.
597,jarnvagsing.
15,modellsnick.
4,snick.-mast.
736,museiforest.
2647,reg.-auditor
2569,2:e lansnot.
2379,teaterkamrer
690,sagverksdir.
637,jarnvagsarb.
157,vaktforest:a
694,skylttextare
684,lansarkitekt
2718,skadespelare
2808,1:ste kamrer
76,specerihand.
2503,tunnbindarem
2552,tuliforvalt.
101,bageriverkm.
1270,gruvbokhall.
1318,flottn.-arb.
739,affarsjurist
28,mejeriexpert
2714,marinlak. af
2739,reg.-lakare.
2298,exp.-forest.
582,komm.-kassor
2750,skom.-idkare
55,tamburvaktm.
2579,materialint.
2603,aelningschef
19,trikavafvare
2676,arb. O. hust
2619,mur- & byggm
2572,timmerhandl.
2626,sparb.-kamr.
2265,vardshusid:a
2810,stadsombudsm
2220,matvaruhandI
2460,1:e stadslak
429,konstnarinna
335,snick.-form.
2472,ofverstekam-
2473,landtbrukare
2650,reservlojtn.
350,gjut.-verkm.
326,haradsskrifv
710,tryckerichef
457,akad.-kansl.
2262,langslupsag.
327,ofverskogsv.
328,handelsid:a.
333,ofvervals.n.
2816,gymnastikdir
88,fabr.-kamrer
2516,museiintend.
570,jarnverksing
540,jordbr.-arb.
4,landtbr.-rad
2636,f.d. hemmans
2653,cigarrhandl.
2607,byraforest:a
723,sockerkokare
241,barnavardsm.
198,maskinexpert
146,civilflygare
109,bogserskepp.
2601,dratselkamr.
2602,reg.-intend.
125,metallhandl.
2475,skeppsstufv.
2547,gasverkschef
358,hofrattsass.
583,telegr.-kom.
568,kontr.-prest
562,schacktmast.
237,karantanslak
312,f. d. handl.
149,hyggnadsarb.
135,filmfotograf
2663,ofversteanka
2496,bankdirektor
118,byggn.-entr.
244,angbatsmask.
245,sulfitverkm.
223,distriksvet.
2290,laskedrycksf
2307,snickeriarb.
2737,kont.-amiral
2746,telegrafinsp
2768,skeppshandl.
2688,mikroskopist
2690,platslag.-m.
2662,"1:ste, bokh."
2671,flottn.-insp
147,gasverksdir.
446,kanslivaktm.
681,besiktn.-man
2426,dragareform.
2524,lok.-mastare
2752,sparb.-bokh.
2753,byggnadsing.
2573,regementslak
711,handelskomm.
696,valsverksing
2205,generalsekr.
2770,slottsforman
2548,forradsform.
2670,tapetserarem
147,stalpennarb.
2203,"prakt., lak."
192,landeriagare
493,depart.-skr.
587,chark.-fabr.
2620,forsakr.tjm.
183,repsl.-fabr.
207,montageinsp.
149,riksdagsnot.
2207,jarnvagsdir.
2803,med. d rr J.
594,tryckeriidk.
2238,karant.-lak.
199,akademibokh.
2297,auktionsnot.
102,jarnvagsnot.
2539,kontraktspr.
2261,hofrattsnot.
2760,telegrafkom.
155,stadsbetjant
2253,1:ste aktuar
2514,insp.-konst.
2625,detektivkomm
2700,byggn.-kons.
2703,lagermastare
2772,handelsbitr.
62,tapets.-arb.
56,cirkusartist
615,kafferostare
2183,platsi.-idk.
266,elektr.-arb.
69,skjutbaneag.
290,kvarnarrend.
2266,veterinardir
2219,fiskexportor
2252,premieraktor
2200,skjolllarare
120,magasinschef
122,f. d. fanj'.
2388,prov.-lakare
2464,komm. kapten
2754,kontorsvaktm
2707,byggn.-verkm
110,fornatsform.
112,hofr.-vaktm.
85,maskinforman
2658,distr.-insp.
2199,mejeriforesi
116,vagareforman
117,sundh.-insp.
89,litografarb.
265,hem.-ag.-son
2286,etatsradinne
2500,underbryggm.
2712,tel.-assist.
2713,platslagarm.
584,slakteriaff.
590,ornamentsmed
576,sektionsing.
2485,hotellinneh.
2439,kontorsbokh.
287,maskinsnick.
2796,radgardsdir.
291,byggnadskons
267,stadsplantor
2215,ofverste-loj
2264,akademikamr.
651,chefsresande
656,komm.-borgm.
638,musikpedagog
87,telegrafchef
69,segelsommare
2420,sanitetsvet.
184,radhusvaktm.
160,stufverichef
2597,miss.-pastor
2502,kronolansm..
267,fackf.-ordf.
2400,fil. kand. O
2401,fiskhamnsdir
2778,magasinsbokh
24,vagnsmalarm.
36,telegr.-chef
663,butiksinneh.
666,aukt.-handl.
58,smorexportor
66,kont.-vaktm.
39,sparv.-insp.
10,gjut.-idkare
16,bergslagtjm.
2486,tryckerifktr
43,armaturfabr.
50,virkesmatare
21,kinotekniker
2446,pantb.-agare
2447,1:sta graden
819,pensionatag.
2631,slottslakare
2518,assuransint.
555,fotokonstnar
9,slakth.-dir.
2498,bergsl.-tjm.
2533,vardshusvard
2378,landstingsm.
2182,skomakaranka
2185,laroverksrad
2408,2:dre pastor
2267,hofintendent
2759,angbatsbefal
23,teatermalare
2450,konsulatsekr
2536,milkontroll.
574,trafikforman
1380,slakterichef
1363,vavnadshandl
1297,distr.-ombud
2634,landshofdund
2259,folkskollar.
2228,f. d. jarnh.
2191,konditoriidk
29,kattingfabr.
2787,trav.-handl.
741,kronotorpare
416,sag.-arrend.
38,flaggmaskin.
31,red.-medarb.
260,filareforman
76,kriminalkomm
2491,virkeshandl.
2558,folkskol'ar.
241,reservkapten
1301,tekn.-ledare
616,skogstaxator
2777,statsnotarie
2390,spec.-handl.
2391,f.d. fabriks
112,f. d. barare
97,angb.-forare
2213,f. lararinna
48,plastiklar:a
2456,byggnadsdir.
2457,kontr.-prost
2478,bitr. pastor
2530,utmatn.-man.
2376,boktr.-idk:a
125,bostadsinsp.
2763,chefsintend.
485,sem.-adjunkt
2453,befalhafvare
2437,akademifogde
2499,travaruhand1
320,anjovisfabr.
2468,tel.-forest.
2421,f.d. kommers
272,belysn.-chef
2301,generalmaior
2223,tjanstem. V.
20,guldarbetare
2296,fotografelev
2480,hemmansagare
2186,forradsforv.
203,fangelseass.
2469,diskontobank
2452,fastigh.-mak
456,kronofj.-man
439,matr. skrif.
440,domprostinna
441,elektrotekn.
2497,grosshandel.
2260,guldgrafvare
2377,1:ste pastor
467,d. a:s anka
479,hemmansag:a
422,grufforest.
423,sped.-affar
425,st:ns-mast.
430,grufintend.
365,jarngjutare
3181,lok.-eldare
105,bageriverkm
2967,finbagerska
5,lifrantefod
784,postforest.
3193,modehandl:a
2866,skraddarem.
2873,f.d. kamrer
3370,ofverstinna
3418,kom.-kapten
3434,brukslakare
2821,k. hofpred.
2824,sjukh.-lak.
1300,ag.-brukare
3219,kafeinneh:a
655,fabr.-mast.
787,komminıster
1251,stuterichef
3025,hofkapellm.
3001,polisvaktm.
3158,1:ste berid
3132,mejerikons.
1279,gruvbyggare
620,sagstallare
716,kustroddare
3159,segelmakare
3081,hand.-agent
98,malarverkm.
3006,skostensfej
551,hush.-bitr.
481,forlagsred.
579,banv.-mast.
354,d. a. B. N.
374,tunnbindare
3408,hyreskontr.
1345,bruksbyggm.
1313,kop.-lakare
3112,handelsing.
2992,underlojin.
3137,vaktmastare
2963,manu-handl.
120,skoforsalj.
586,pappersarb.
3165,tidn.-medar
3285,t. f. stads
592,gransridare
3107,stenhuggare
2936,statsbyggm.
3003,inkasserare
3273,skinnhandl.
3194,stadskassor
2875,sanglarar:a
3240,affarsidkar
334,stenh.-arb.
15,apoteksarr.
2962,malterichef
3117,hoffotograf
3246,elektroing.
127,bibl.-karie
148,friserbitr.
3203,egendomsag.
3169,larov.-rad.
466,underkassor
3032,uppasserska
3235,handelsdir.
3209,byggn.:ing.
3114,statistiker
2893,f.d. bruksp
26,sjukvardare
163,expressarb.
198,solocellist
232,statsgeodet
3170,murarforman
87,organisator
3243,andre bibl.
3147,sadelmakarm
3161,regem.-vet.
3018,lasarattsl.
3111,1:ste bibl.
2905,exped.-chef
3387,bokh.-bitr.
3150,sem.-rektor
3173,hotellinneh
3155,a.-forest:a
2919,skatteexek.
2996,poliskonst.
3172,teckningsl.
3178,brottmalsd.
3151,komm.-ordf.
3126,pianohandl.
3145,perukmakare
66,omnibussag.
53,expressidk.
27,konstglasm.
2952,Grosshandl.
3393,snick.-idk.
161,sporthandl.
2961,d:r (lakare
2935,kammarvaktm
2947,vik. lektor
3187,skogshandl.
3182,fabrikanter
36,sagv.-forv.
46,kontorstjm.
3160,konsist.-am
3505,landshofden
3083,lansbokhall
238,handskaffar
2959,kapphandl:a
2856,batalj.-lak
73,f. d. 1ar:a
3079,f. timmerm.
253,jarnvagstjm
477,transportm.
49,hufvudagent
8,traarbetare
3207,brukskamrer
3272,skohandlare
79,byggn.-rit.
3115,bankofullm.
108,forradsarb.
3210,stensattare
